x,y,value
1.0,96.0,0.833333
2.0,95.0,1.0
4.0,24.0,0.977778
4.0,67.0,1.0
4.0,69.0,1.0
4.0,94.0,1.977778
4.0,95.0,1.0
4.0,97.0,1.977778
5.0,72.0,0.922222
5.0,96.0,0.988889
6.0,7.0,0.988889
6.0,82.0,1.0
7.0,53.0,1.955556
7.0,61.0,0.988889
7.0,71.0,0.922222
8.0,60.0,0.5
8.0,61.0,0.988889
8.0,86.0,1.0
8.0,87.0,0.833333
8.0,90.0,1.966667
8.0,92.0,1.944444
9.0,81.0,1.0
9.0,88.0,1.833333
9.0,95.0,1.0
10.0,43.0,1.0
10.0,66.0,0.933333
10.0,88.0,0.833333
10.0,91.0,1.0
10.0,92.0,1.0
11.0,13.0,0.988889
11.0,17.0,0.833333
11.0,77.0,1.0
11.0,94.0,0.833333
12.0,70.0,1.0
12.0,71.0,0.988889
12.0,87.0,0.988889
12.0,91.0,1.0
13.0,56.0,0.944444
13.0,63.0,0.988889
13.0,69.0,0.922222
13.0,86.0,1.0
13.0,87.0,0.988889
13.0,95.0,0.833333
13.0,96.0,0.833333
14.0,83.0,0.966667
14.0,87.0,1.0
14.0,90.0,1.0
14.0,92.0,1.0
15.0,84.0,0.966667
15.0,90.0,1.644444
16.0,16.0,2.0
16.0,69.0,0.922222
16.0,77.0,0.911111
16.0,89.0,0.922222
16.0,91.0,1.0
16.0,93.0,1.777778
16.0,94.0,1.0
17.0,10.0,0.988889
17.0,76.0,0.933333
17.0,82.0,2.0
17.0,86.0,0.988889
17.0,92.0,0.5
18.0,51.0,0.977778
18.0,73.0,0.988889
18.0,96.0,0.922222
19.0,33.0,0.833333
19.0,45.0,0.988889
19.0,63.0,0.988889
19.0,89.0,0.833333
20.0,47.0,0.988889
20.0,69.0,1.977778
20.0,77.0,0.966667
20.0,78.0,1.0
20.0,80.0,0.911111
20.0,84.0,0.944444
20.0,90.0,1.0
20.0,93.0,0.644444
21.0,33.0,0.833333
21.0,61.0,0.911111
21.0,65.0,1.0
21.0,69.0,0.988889
21.0,74.0,1.0
21.0,75.0,1.0
21.0,82.0,0.688889
22.0,35.0,0.833333
22.0,43.0,0.988889
22.0,52.0,1.0
22.0,87.0,0.988889
22.0,90.0,0.944444
22.0,93.0,1.0
23.0,57.0,0.988889
23.0,60.0,1.0
23.0,61.0,1.0
23.0,70.0,1.0
23.0,79.0,1.977778
23.0,90.0,0.988889
23.0,92.0,0.911111
23.0,93.0,1.0
23.0,94.0,1.988889
23.0,96.0,1.0
24.0,31.0,0.833333
24.0,79.0,1.0
24.0,85.0,1.666667
24.0,89.0,1.0
24.0,91.0,0.988889
24.0,94.0,0.988889
24.0,98.0,1.0
25.0,28.0,0.922222
25.0,31.0,0.922222
25.0,60.0,1.0
25.0,61.0,1.0
25.0,64.0,1.0
25.0,75.0,0.988889
25.0,77.0,0.833333
25.0,80.0,1.0
25.0,82.0,0.966667
25.0,83.0,0.988889
25.0,88.0,0.988889
25.0,100.0,1.0
26.0,79.0,0.988889
26.0,82.0,0.688889
26.0,86.0,0.988889
26.0,93.0,0.933333
26.0,95.0,0.766667
26.0,96.0,1.0
26.0,97.0,1.0
27.0,78.0,1.0
27.0,81.0,1.0
27.0,82.0,1.911111
27.0,89.0,0.988889
28.0,32.0,0.844444
28.0,61.0,0.988889
28.0,71.0,1.966667
28.0,73.0,1.0
28.0,74.0,0.977778
28.0,76.0,1.977778
28.0,89.0,0.933333
28.0,91.0,0.922222
28.0,93.0,1.0
28.0,97.0,1.0
29.0,20.0,1.0
29.0,51.0,0.977778
29.0,54.0,0.944444
29.0,67.0,0.833333
29.0,69.0,0.644444
29.0,70.0,0.944444
29.0,71.0,0.922222
29.0,84.0,0.922222
29.0,87.0,1.977778
29.0,89.0,0.911111
29.0,90.0,0.844444
29.0,94.0,1.0
30.0,39.0,1.666667
30.0,44.0,0.911111
30.0,48.0,0.922222
30.0,52.0,0.977778
30.0,58.0,1.0
30.0,61.0,0.933333
30.0,66.0,0.988889
30.0,71.0,0.766667
30.0,72.0,0.966667
30.0,82.0,0.944444
30.0,87.0,0.988889
30.0,89.0,0.5
30.0,90.0,1.0
30.0,91.0,0.988889
30.0,92.0,0.988889
30.0,96.0,1.0
31.0,36.0,0.988889
31.0,85.0,0.688889
31.0,86.0,0.688889
31.0,87.0,0.988889
31.0,89.0,0.988889
31.0,90.0,1.988889
31.0,93.0,1.977778
31.0,94.0,0.988889
31.0,95.0,0.688889
32.0,43.0,0.988889
32.0,60.0,1.0
32.0,63.0,1.0
32.0,65.0,0.922222
32.0,70.0,0.922222
32.0,72.0,1.977778
32.0,73.0,1.977778
32.0,76.0,1.0
32.0,78.0,3.0
32.0,80.0,1.0
32.0,85.0,1.755556
32.0,92.0,0.644444
32.0,94.0,1.0
32.0,95.0,1.0
32.0,96.0,1.0
33.0,68.0,1.766667
33.0,76.0,1.0
33.0,86.0,1.911111
33.0,87.0,0.988889
33.0,89.0,0.988889
33.0,91.0,1.466667
33.0,92.0,0.5
33.0,93.0,1.0
33.0,95.0,1.0
33.0,96.0,0.766667
34.0,28.0,1.0
34.0,35.0,0.988889
34.0,53.0,0.988889
34.0,61.0,1.0
34.0,65.0,1.0
34.0,68.0,1.0
34.0,69.0,1.0
34.0,84.0,1.977778
34.0,85.0,0.933333
34.0,86.0,0.988889
34.0,89.0,1.0
34.0,90.0,1.0
34.0,91.0,0.844444
34.0,92.0,0.988889
34.0,93.0,1.0
34.0,94.0,0.644444
34.0,95.0,1.988889
35.0,36.0,0.988889
35.0,37.0,0.911111
35.0,58.0,0.844444
35.0,64.0,0.833333
35.0,68.0,0.988889
35.0,75.0,0.644444
35.0,76.0,0.111111
35.0,90.0,0.5
35.0,91.0,2.0
35.0,95.0,0.988889
36.0,45.0,0.977778
36.0,46.0,0.977778
36.0,51.0,0.966667
36.0,71.0,1.0
36.0,75.0,0.977778
36.0,76.0,0.944444
36.0,77.0,1.0
36.0,80.0,0.833333
36.0,81.0,0.844444
36.0,87.0,1.0
36.0,89.0,0.911111
36.0,92.0,0.966667
36.0,94.0,0.911111
36.0,97.0,0.933333
36.0,98.0,1.0
36.0,100.0,0.988889
37.0,68.0,1.988889
37.0,69.0,1.777778
37.0,70.0,0.988889
37.0,73.0,0.911111
37.0,74.0,1.0
37.0,78.0,1.977778
37.0,79.0,1.0
37.0,80.0,1.0
37.0,85.0,1.0
37.0,86.0,1.0
37.0,87.0,0.988889
37.0,89.0,0.911111
37.0,90.0,1.0
37.0,92.0,1.0
37.0,94.0,0.988889
37.0,95.0,3.822222
38.0,29.0,1.0
38.0,33.0,0.922222
38.0,50.0,0.766667
38.0,67.0,0.911111
38.0,70.0,1.0
38.0,73.0,1.0
38.0,74.0,0.644444
38.0,75.0,0.988889
38.0,80.0,0.922222
38.0,82.0,1.0
38.0,86.0,0.977778
38.0,87.0,1.966667
38.0,88.0,2.988889
38.0,89.0,2.0
38.0,95.0,1.955556
39.0,28.0,1.0
39.0,43.0,1.0
39.0,50.0,0.988889
39.0,63.0,2.877778
39.0,67.0,0.833333
39.0,71.0,1.0
39.0,75.0,0.977778
39.0,78.0,1.0
39.0,86.0,0.644444
39.0,88.0,3.177778
39.0,89.0,2.0
39.0,90.0,0.644444
39.0,92.0,1.933333
39.0,93.0,1.0
39.0,95.0,0.933333
40.0,57.0,1.0
40.0,58.0,1.0
40.0,62.0,1.0
40.0,63.0,1.0
40.0,64.0,1.944444
40.0,68.0,0.922222
40.0,72.0,1.922222
40.0,75.0,1.0
40.0,80.0,1.0
40.0,82.0,1.988889
40.0,85.0,2.0
40.0,86.0,0.988889
40.0,89.0,1.0
40.0,90.0,1.0
40.0,91.0,1.0
40.0,93.0,1.633333
40.0,94.0,1.866667
40.0,97.0,0.988889
40.0,100.0,1.0
41.0,34.0,2.0
41.0,35.0,1.0
41.0,52.0,0.833333
41.0,60.0,0.644444
41.0,72.0,0.966667
41.0,81.0,0.977778
41.0,89.0,0.833333
41.0,91.0,1.0
41.0,92.0,0.988889
41.0,93.0,2.0
41.0,97.0,1.0
42.0,26.0,0.844444
42.0,66.0,0.988889
42.0,70.0,0.966667
42.0,79.0,0.933333
42.0,81.0,0.5
42.0,82.0,1.0
42.0,83.0,1.977778
42.0,85.0,1.0
42.0,86.0,0.988889
42.0,87.0,0.944444
42.0,89.0,0.944444
42.0,90.0,1.0
42.0,95.0,0.766667
43.0,45.0,1.0
43.0,52.0,1.0
43.0,54.0,0.988889
43.0,67.0,0.844444
43.0,69.0,1.0
43.0,72.0,0.844444
43.0,78.0,0.988889
43.0,80.0,1.0
43.0,83.0,1.0
43.0,84.0,1.0
43.0,85.0,1.2
43.0,87.0,2.0
43.0,90.0,0.766667
43.0,93.0,0.988889
44.0,16.0,1.0
44.0,28.0,1.0
44.0,43.0,0.844444
44.0,45.0,1.988889
44.0,46.0,0.844444
44.0,52.0,1.0
44.0,58.0,1.0
44.0,63.0,0.988889
44.0,66.0,0.988889
44.0,68.0,0.844444
44.0,73.0,0.988889
44.0,74.0,0.933333
44.0,81.0,1.0
44.0,82.0,0.911111
44.0,84.0,0.988889
44.0,85.0,0.933333
44.0,87.0,1.977778
44.0,89.0,0.933333
44.0,92.0,1.988889
44.0,95.0,1.0
44.0,97.0,0.988889
45.0,27.0,0.988889
45.0,42.0,0.844444
45.0,44.0,2.0
45.0,46.0,0.988889
45.0,50.0,1.0
45.0,53.0,0.988889
45.0,62.0,1.0
45.0,64.0,1.0
45.0,74.0,1.0
45.0,78.0,1.0
45.0,79.0,1.0
45.0,80.0,0.766667
45.0,81.0,1.0
45.0,82.0,1.0
45.0,83.0,0.988889
45.0,84.0,1.0
45.0,85.0,0.933333
