x,y,value
10.0,86.0,1.0
11.0,0.0,1.0
11.0,11.0,1.0
11.0,32.0,1.0
11.0,39.0,1.0
11.0,50.0,1.0
11.0,53.0,1.0
11.0,56.0,1.0
11.0,67.0,1.0
11.0,85.0,1.0
11.0,88.0,1.0
11.0,93.0,2.0
12.0,22.0,1.0
12.0,23.0,1.0
12.0,24.0,1.0
12.0,32.0,1.0
12.0,39.0,1.0
12.0,59.0,1.0
12.0,66.0,1.0
12.0,80.0,1.0
12.0,83.0,1.0
12.0,86.0,2.0
12.0,90.0,1.0
12.0,97.0,1.0
13.0,7.0,1.0
13.0,9.0,1.0
13.0,12.0,1.0
13.0,43.0,1.0
13.0,59.0,2.0
13.0,60.0,1.0
13.0,66.0,1.0
13.0,79.0,1.0
13.0,84.0,1.0
13.0,94.0,1.0
13.0,95.0,1.0
14.0,29.0,1.0
14.0,89.0,1.0
15.0,22.0,1.0
15.0,23.0,1.0
15.0,28.0,1.0
15.0,47.0,1.0
16.0,5.0,1.0
16.0,17.0,0.988889
16.0,31.0,1.0
16.0,34.0,1.0
17.0,3.0,1.0
17.0,7.0,2.0
17.0,27.0,1.0
17.0,53.0,1.0
17.0,54.0,1.0
18.0,12.0,1.0
18.0,21.0,1.0
18.0,52.0,1.0
18.0,55.0,1.0
18.0,63.0,0.944444
18.0,71.0,1.0
18.0,84.0,1.0
18.0,87.0,1.0
18.0,88.0,1.0
18.0,89.0,1.0
19.0,23.0,2.0
19.0,27.0,1.0
19.0,28.0,2.966667
19.0,50.0,0.5
19.0,56.0,1.0
